identifiant_ban;numero_dpe
73015_0960;2173E0377786B
73257_0329;2173E0716709O
73227_2800;2173E0458155E
73011_0890;2173E0801699K
73204_0075;2173E0160087A
NA;2173E0466617Q
73008_2130_00017;2173E0880239E
73054_A151;2173E0642983Y
73248_0170_00445;2173E0865401M
73055_0029;2173E0970586B
73128_0078_00349;2173E0736004R
73008_0420_00015;2173E1013888N
73150_xu38lz;2173E0418693K
73132_0260;2173E0834803Q
73186_0165;2173E0348704N
73071_0013;2173E0689689I
73216_0130_00090;2173E0830484N
73307_A019;2174E0151793B
73008_1910_00002;2173E0633367C
73065_3737_00161;2173E0741349G
73005_0090;2173E0372013A
73006_1276;2173E1008251S
73280_zeql03;2173E0943199S
73282_0340;2173E0054598T
73242_x52hqw;2173E0733178Z
73176_1200;2173E0814252F
73296_edlghr;2173E0651642Z
73008_0510;2173E0910133Y
73008_1580_00008;2173E0821087C
73002_0039;2173E0622596V
73296;2173E0475071U
73069_0065;2173E0222350T
73029_0360_00019;2173E0381179O
73150_0872;2173E0931949A
73150_8cpzcp;2173E0717455G
73051_0260;2173E0118775C
73116_0230;2173E0770671A
NA;2173E0695388N
73203_0022;2173E0781621E
73150_hir873_00030;2173E0203137U
73051_0330;2173E0226533Q
73015_0960;2173E0524343W
73232_B056;2173E0712712V
73257_vew89u;2173E0500944X
73116_0026;2173E0538411Y
73150_B206;2173E0437249C
73008_1310_00251;2173E0905083S
73051_0330;2173E0835402R
73057_0002;2173E0690753G
73054_A061;2173E0513527W
73128_0150_00610;2173E0731396L
73030_0240_00295;2173E0164793A
73103_0155;2173E0453821M
73257_0514;2173E0776444B
73230_1752im;2173E0623601M
73235_wm51bu;2173E0636034R
73150_0837_00061;2173E0731198V
73222_0030;2173E0196888L
73051_0315;2173E0764029O
73257_b75ifp;2173E0211279Y
73296_0096;2173E0920639A
73284_0011_00364;2173E0970769C
73011_0250_00856;2173E0554168Z
73150_0kr51u;2173E0715417W
73296_uh3v9m;2173E0911989I
73198_1910_00039;2173E0683799U
73004;2173E0444785Y
73128_0258_00470;2173E0802632H
73015_0960;2173E0220687U
73150_B206;2173E0438374J
73282_1250;2173E0150037M
73008_0510;2173E0879573O
73222_0232;2173E0394189Y
73011_0080_00066;2173E0393072Z
73011_0650_00007;2173E0841209A
